wt (lbs),1,2,3,4,5,6,7,8
1,5.913,9.537,9.657,9.796,10.315,10.553,10.891,10.991
2,5.913,9.578,9.717,9.836,10.315,10.593,10.912,11.012
3,5.994,9.717,9.836,9.977,10.474,10.732,11.051,11.151
4,6.052,11.012,11.271,11.528,12.524,12.922,13.48,13.7
5,6.233,11.827,12.225,12.623,14.138,14.675,15.492,15.791
6,6.252,13.48,14.316,15.112,18.159,19.155,20.63,21.266
7,6.293,13.938,14.756,15.571,18.657,19.673,21.167,21.804
8,6.332,14.436,15.253,16.069,19.194,20.25,21.783,22.422
9,6.969,14.795,15.61,16.427,19.553,20.609,22.142,22.779
10,6.99,15.054,15.89,16.705,19.833,20.887,22.422,23.058
11,7.009,17.245,18.539,19.812,24.691,26.263,28.613,29.609
12,7.029,17.502,18.777,20.072,24.929,26.504,28.872,29.847
13,7.805,17.881,19.155,20.449,25.309,26.921,29.25,30.246
14,7.826,18.18,19.474,20.729,25.626,27.201,29.549,30.565
15,7.845,18.479,19.773,21.047,25.946,27.539,29.889,30.884
