wt (oz),1,2,3,4,5,6,7,8
1,5.913,5.913,5.934,5.994,6.152,6.252,6.372,6.392
2,5.913,5.913,5.934,5.994,6.152,6.252,6.372,6.392
3,5.994,5.994,6.034,6.094,6.272,6.392,6.511,6.55
4,6.052,6.052,6.094,6.173,6.392,6.531,6.691,6.731
5,6.233,6.233,6.293,6.392,6.67,6.809,6.99,7.029
6,6.252,6.252,6.332,6.432,6.731,6.89,7.069,7.129
7,6.293,6.293,6.351,6.471,6.791,6.948,7.148,7.208
8,6.332,6.332,6.411,6.55,6.909,7.089,7.307,7.388
9,6.969,6.969,7.069,7.189,7.587,7.766,8.004,8.085
10,6.99,6.99,7.089,7.228,7.627,7.805,8.044,8.124
11,7.009,7.009,7.108,7.247,7.666,7.845,8.104,8.185
12,7.029,7.029,7.129,7.268,7.706,7.905,8.164,8.243
13,7.805,7.805,7.905,8.064,8.523,8.722,9,9.081
14,7.826,7.826,7.925,8.085,8.562,8.782,9.06,9.139
15,7.845,7.845,7.965,8.124,8.622,8.84,9.139,9.22
15.99,7.865,7.865,7.985,8.164,8.682,8.9,9.199,9.298
